Name,Day and Time,Address,Phone Number,Latitude,Longitude
Broad Street Ministry,Monday: Open 11:30 AM Close 1:30 PM Tuesday: Open 11:30 AM Close 1:30 PM Wednesday: Open 11:30 AM Close 1:30 PM Thursday: Open 11:30 AM Close 1:30 PM Friday: Open 11:30 AM Close 1:30 PM,"315 South Broad Street, Philadelphia, PA, USA",215-735-4847,39.9461213,-75.1645044
Blackwell Culture Alliance (BCA),Saturday: Open 8:00 AM Close 11:00 AM,"5148 Locust Street, Philadelphia, PA, USA",484-775-0772,39.9556453,-75.2255047
Bethesda Project - Our Brothers Place,Sunday: Open 12:00 PM Close 1:00 PM Monday: Open 12:00 PM Close 1:00 PM Tuesday: Open 12:00 PM Close 1:00 PM Wednesday: Open 12:00 PM Close 1:00 PM Thursday: Open 12:00 PM Close 1:00 PM Friday: Open 12:00 PM Close 1:00 PM Saturday: Open 12:00 PM Close 1:00 PM,"907 Hamilton Street, Philadelphia, PA, USA",215-985-1600,39.9602861,-75.1537999
Bebashi Transition to Hope,Monday: Open 10:00 AM Close 4:00 PM Tuesday: Open 10:00 AM Close 4:00 PM Wednesday: Open 10:00 AM Close 4:00 PM  Thursday: Open 10:00 AM Close 4:00 PM Friday: Open 10:00 AM Close 4:00 PM,"1235 Spring Garden Street, Philadelphia, PA, USA",215-769-3561,39.9620241,-75.1582862
Willow Grove SDA,Tuesday: Open 9:00 AM Close 2:00 PM Wednesday: Open 9:00 AM Close 2:00 PM,"1576 Fairview Avenue, Willow Grove, PA, USA",215-657-8364,40.131742,-75.123965
UMACC,Tuesday: 9:30 AM Close 11:30 AM AND Tuesday: Open 5:00 PM Close 7:00 PM Tuesday: Open 9:30 AM Close 11:30 AM Open 5:00 PM Close 7:00 PM,"191 Town Center Road, King of Prussia, PA, USA",610-265-2420,40.0955,-75.3693
Sal Army Pottstown Cupboard,Tuesday:  Open 1:00 PM Close 2:00 PM Thursday: Open 1:00 PM Close 2:00 PM,"137 King St, Pottstown, PA, USA",610-326-1621,40.2469792,-75.6516313
Sal Army Norristown Cupboard,Tuesday: Open 11:00 AM Close 2:00 PM,"533 Swede Street, Norristown, PA, USA",610-275-4185,40.1166437,-75.3434892
Open Door,Thursday: Open 12:00 PM Close 4:00 PM First Thursday of the Month: Open 4:00 PM Close 7:00 PM Second Thursday of the Month: Open 4:00 PM Close 7:00 PM Third Thursday of the Month: Open 4:00 PM Close 7:00 PM,"350 Main Street, Royersford, PA, USA",610-948-4818,40.1846492,-75.5396881
New Hope Baptist,Tuesday: Open 11:00 AM Close 1:00 PM,"204 E Oak St, Norristown, PA, USA",610-275-5814,40.1176153,-75.3383527
Narberth Community Food Bank,Tuesday: Open 10:00 AM Close 2:00 PM 484- 278-4579,"201 Sabine Avenue, Narberth, PA, USA",,40.0117043,-75.2648813
Lamb Foundation- Cornucopia Cupboard,Second Monday of the Month: Open 10:00 AM Close 4:00 PM Fourth Monday of the Month: Open 10:00 AM Close 4:00 PM,"499 E Walnut St, North Wales, PA, USA",216-661-8800,40.213633,-75.27682
Keystone Opportunity Center,"Tuesday: Open 10:00 AM Close 2:00 PM Wednesday: Open 10:00 AM Close 2:00 PM Thursday: Open 10:00 AM Close 2:00 PM First Thursday of the Month: Open 4:00 PM Close 6:00 PM , Ext. 101","104 North Main Street, Souderton, PA, USA",215-723-5430,40.3103346,-75.3226837
Jenkintown Food Cupboard,Tuesday: Open 5:30 PM Close 7:00 PM Thursday: Open 12:00 PM Close 2:30 PM,"328 Summit Avenue, Jenkintown, PA, USA",215-886-7250,40.0930944,-75.1303893
Grace Lutheran,Monday: Open 8:30 AM Close 11:00 AM Thursday: Open 8:30 AM Close 11:00 AM Saturday: Open 8:30 AM Close 11:00 AM,"506 Haws Avenue, Norristown, PA, USA",484-363-9378,40.1207069,-75.3523053
Daily Bread Community Pantry,Wednesday: Open 9:00 AM Close 11:00 AM Saturday: Open 9:00 AM Close 11:00 AM Thursday: Open 6:00 PM Close 8:00 PM,"3938 Ridge Pike, Collegeville, PA, USA",610-489-5540,40.1843713,-75.4488673
Cluster Outreach Cupboard,Tuesday: Open 9:30 AM Close 12:15 PM Wednesday: Open 2:00 PM Close 6:00 PM Thursday: Open 9:30 AM Close 12:15 PM Friday: Open 9:30 AM Close 12:15 PM,"57 North Franklin Street, Pottstown, PA, USA",610-970-5995,40.2462983,-75.6441174
Calvary Church Food Pantry,Second Tuesday of the Month: Open 9:00 AM Close 11:00 AM,"7910 Washington Lane, Wyncote, PA, USA",215-886-0404,40.081627,-75.144377
Beth Sholom,Thursday: Open 1:00 PM Close 3:00 PM Thursday: Open 6:00 PM Close 7:00 PM,"8231 Old York Road, Elkins Park, PA, USA",215-832-0509,40.0818546,-75.1262062
ACLAMO Norristown,Second Friday of the Month: Open 10:00 AM Close 2:00 PM Fourth Friday of the Month: Open 10:00 AM Close 2:00 PM (610) 277-2570,"512 West Marshall Street, Norristown, PA, USA",,40.1201621,-75.3492713
Martha's Choice Marketplace (@ Catholic Social Services),Wednesday: Open 3:00 PM Close 6:00 PM Thursday: Open 12:00 PM Close 3:00 PM Friday: Open 12:00 PM Close 2:00 PM,"353 E Johnson Hwy, Norristown, PA, USA",610-279-7372,40.1280541,-75.3221762
Feast of Justice - Castor,Saturday: Open 12:00 PM Close 2:00 PM,"6334 Castor Avenue, Philadelphia, PA, USA",,40.0387608,-75.0782057
Muslims Serve,Thursday: Open 11:00 AM Close 3:00 PM,"4700 Wyalusing Ave, Philadelphia, PA, USA",267-265-6334,39.9704033,-75.2162294
OCCCDA,Fourth Thursday of the Month: 10:00 AM to 2:00 PM 10 AM - 2 PM,"6500 Castor Ave, Philadelphia, PA, USA",215-288-8504,40.0410526,-75.076264
Brothers of Strawberry Mansion,First Saturday of the Month: Open 9:30 AM Close 12:00 PM  Third Saturday of the Month: Open 9:30 AM Close 12:00 PM,"3305 Diamond Drive, Philadelphia, PA, 19121 USA",267-568-1163,39.9889456,-75.1891015
New Disciples Ministries,Second Saturday of the Month: Open 10:00 AM Close 1:00 PM Fourth Saturday of the Month: Open 10:00 AM Close 1:00 PM,"6301 Kingsessing Ave, Philadelphia, PA, USA",484-688-6011,39.928843,-75.2353705
New Hope AME Zion Church,First Saturday of the Month: Open 11:00 AM Close 1:00 PM Third Saturday of the Month: Open 11:00 AM Close 1:00 PM,"5802 Musgrave St, Philadelphia, PA 19144, USA",215-668-9703,40.043912,-75.1686413
"Temple University Hospital, Episcopal Campus",Thursday: Open 2:00 PM Close 4:00 PM,"100 E Lehigh Ave, Philadelphia, PA 19125, USA",215-707-0220,39.9892486,-75.1276226
Delco Food Project,Thursday: Open 12:00 PM Close 5:00 PM Phone:,"535 Lamp Post Lane, Aston, PA, USA",484-601-9122,39.8585479,-75.4276554
All for All (AFA) Agency,Wednesday: Open 4:00 PM Close 6:00 PM Friday: Open 4:00 PM Close 6:00 PM Phone:,"708 Pembroke Avenue, East Lansdowne, PA, USA",484-461-8250,39.9430645,-75.2603279
Interfaith Housing at Living Hope,Monday: Open 5:30 Close 7:30 PM Wednesday: Open 11:00 AM Close 1:00 PM Thursday: Open 11:00 AM Close 1:00 PM Friday: Open 11:00 AM Close 1:00 PM Phone Number:,"1250 Easton Road, Horsham, PA, USA",215-318-0607,40.2007702,-75.1391354
HEALTH Food Pantry,Thursday: Open 11:00 AM Close 2:00 PM Phone:,"90 Kenney Avenue, Sharon Hill, PA, USA",610-583-1177,39.911247,-75.271595
Parkside Association of Philadelphia,Thursday: Open 8:30 AM Close 1:00 PM Phone:,"1719 N 52nd St, Philadelphia, PA, USA",215-877-1198,39.981086,-75.224216
New Testament Church of God,First Saturday of the Month: Open 12:00 PM Close 2:00 PM Third Saturday of the Month: Open 12:00 PM Close 2:00 PM,"935 S 53rd St, Philadelphia, PA, USA",215-472-6630,39.9454481,-75.2270916
Katie's Cupboard at Tabor,Thursday: Open 10:00 AM Close 12:00 PM Phone:,"4860 N Howard St, Philadelphia, PA, USA",215-455-1706,40.0241617,-75.1251058
Hickman Temple AME Church,First Monday of the Month: Open 12:00 PM Close 2:30 PM Third Monday of the Month: Open 12:00 PM Close 2:30 PM Phone:,"1220 South 58th Street, Philadelphia, PA, USA",267-815-5684,39.9431794,-75.2376751
Feast of Justice - Tyson,Tuesday: Open 11:00 AM Close 12:00 PM Saturday: Open 3:00 PM Close 4:00 PM,"3101 Tyson Ave, Philadelphia, PA, USA",,40.0369988,-75.0518396
Allegheny West Foundation,First Wednesday of the Month: Open 10:00 AM Close 2:00 PM Third Wednesday of the Month: Open 10:00 AM Close 2:00 PM Phone:,"3101 N 22nd St, Philadelphia, PA, USA",215-225-1019,40.0018361,-75.1663145
Iglesia Cristiana Avivamiento,Tuesday: Open 10:00 AM Close 2:00 PM Phone:,"5500 Tabor Ave, Philadelphia, PA, USA",215-856-3932,40.0367859,-75.1046899
St. Paul AME Church,Thursday: Open 9:30 AM Close 11:45 AM,"8398 Lindbergh Blvd., Philadelphia, PA, USA",215-365-3330,39.8976915,-75.2514861
Mizpah SDA Church,Tuesday: Open 9:30 AM Close12:00 PM,"4355 Paul St, Philadelphia, PA, USA",215-535-5995,40.0111331,-75.0865414
Chester Eastside Inc.,Monday: Open 11:00 AM Close 12:45 PM Wednesday: Open 11:00 AM Close 12:45 PM,"301 9th Street, Chester, PA, USA",610-872-4812,39.8533866,-75.3583645
True Vine Missionary Church,Tuesday: Open 10:00 AM Close 11:30 AM Fourth Thursday of the Month: Open 10:00 AM Close 11:30 AM,"701 Morton Avenue, Chester, PA, USA",724-572-3234,39.8535782,-75.3533626
Lifewerks,Tuesday: Open 6:00 PM Close 8:00 PM,"28 Walnut Road, Wallingford, PA, USA",610-872-3344,39.876725,-75.366987
St. Paul CME Church Food Ministry,Tuesday: Open 11:00 AM Close 2:00 PM Friday: Open 12:00 PM Close 2:00 PM,"1009 West 3rd Street, Chester, PA, USA",484-368-6228,39.8413582,-75.3724126
St. Mary's Episcopal Church,Thursday: Open 12:30 PM Close 2:00 PM,"703 Edwards Street, Chester, PA, USA",610-874-8565,39.8414057,-75.3822253
Salvation Army- Chester,Second Wednesday of the Month: Open 10:00 AM Close 1:00 PM Fourth Wednesday of the Month: Open 10:00 AM Close 1:00 PM,"151 West 15th Street, Chester, PA, USA",610-874-4266,39.8585193,-75.3639176
Neighbor to Neighbor,Thursday: Open 6:00 PM Close 8:00 PM,"818 Clifton Avenue, Sharon Hill, PA, USA",610-461-8140,39.9001452,-75.2692519
Multicultural Community Family Services,First Tuesday of the Month: Open 11:30 AM Close 3:30 PM Second Tuesday of the Month: Open 11:30 AM Close 12:30 PM Third Tuesday of the Month: Open 11:30 AM Close 3:30 PM Fourth Tuesday of the Month: Open 11:30 AM Close 12:30 PM Fifth Tuesday of the Month: Open 11:30 AM Close 12:30 PM,"7016 Terminal Square, Upper Darby, PA, USA",484-461-8660,39.9611037,-75.2627465
Mt. Zion CME Church,Wednesday: Open 1:30 PM Close 2:30 PM Thursday: Open 12:00 PM Close 1:30 PM Saturday: Open 10:00 AM Close 12:00 PM,"701 Felton Avenue, Sharon Hill, PA, USA",610-620-8133,39.900718,-75.270528
Media Food Bank,Thursday: Open 6:00 PM Close 8:00 PM Sunday: Open 1:00 PM Close 2:00 PM,"350 West State Street, Media, PA, USA",484-352-2801,39.9184899,-75.394025
Loaves and Fishes Food Pantry,Tuesday Open 11:00 AM Close 2:00 PM  Tuesday: Open 5:00 PM Close 7:00 PM Thursday: Open 1:00 PM Close 4:00 PM,"703 Lincoln Ave, Prospect Park, PA, USA",610-532-9000,39.883541,-75.306672
Bernardine Center,First Wednesday of the Month: Open 9:00 AM Close 11:00 AM Second Tuesday of the Month: Open 4:00 PM Close 5:00 PM Fourth Tuesday of the Month: Open 4:00 PM Close 5:00 PM Second Wednesday of the Month: Open 9:00 AM Close 11:00 AM Third Wednesday of the Month: Open 9:00 AM Close 11:00 AM Fourth Wednesday of the Month: Open 9:00 AM Close 11:00 AM,"2625 West 9th Street, Chester, PA, USA",610-497-3225,39.8368286,-75.3934386
Manna on Main Street Pantry and Kitchen,Monday: Open 10:00 AM Close 2:00 PM and Open 1:30 PM Close 4:00 PM and Open 4:30 PM Close 6:00 PM Tuesday: Open 10:00 AM Close 2:00 PM and Open 12:00 PM Close 2:00 PM and Open 4:30 PM Close 6:00 PM Wednesday: Open 10:00 AM Close 2:00 PM  and Open 5:00 PM Close 7:00 PM and Open 4:30 PM Close 6:00 PM Thursday: Open 10:00 AM Close 2:00 PM  and Open 12:00 PM Close 2:00 PM and Open 4:30 PM Close 6:00 PM Saturday: Open 10:00 AM to 1:00 PM and Open 9:30 AM Close 12:00 PM,"606 East Main Street, Lansdale, PA, USA",215-855-5454,40.2353362,-75.2734257
Upper Merion Area Community Cupboard,Tuesday: Open 9:30 AM Close 11:30 AM and Open 5:00 PM Close 7:00 PM,"191 Town Center Road, King of Prussia, PA, USA",610-265-2420,40.0955,-75.3693
Shepherd's Shelf,Monday: Open 6:30 PM Close 8:00 PM Tuesday: Open 10:00 AM Close 11:00 AM Wednesday: Open 6:30 PM Close 8:00 PM,"2211 Mainland Road, Harleysville, PA, USA",215-256-8738,40.274188,-75.395188
Mattie N. Dixon North Hills Cupboard,Thursday: Open 9:00 AM Close 11:00 AM,"212 Girard Avenue, Glenside, PA, USA",215-628-3002,40.1170845,-75.172196
Family Promises Montco,Monday: Open 5:30 PM Close 7:30 PM Wednesday: Open 10:00 AM Close 1:00 PM  Thursday: Open 10:00 AM Close 1:00 PM Saturday: Open 10:00 AM Close 1:00 PM,"2801 Woodland Road, Roslyn, Abington, PA, USA",267-318-0607,40.133889,-75.140194
Iglesia De Dios Renacer,Tuesday: Open 2:00 PM Close 5:00 PM,"310 Manor Ave, Plymouth Meeting, PA, USA",610-680-8241,40.106575,-75.314576
Bethel Community Church of Pottstown,Second Monday of the Month: Open 4:00 PM Close 7:30 PM Third Monday of the Month: Open 4:00 PM Close 7:30 PM Fourth Monday of the Month: Open 4:00 PM Close 7:30 PM,"575 North Keim Street, Pottstown, PA, USA",610-326-1700,40.2491,-75.6215
St. Benedict Food Bank,Monday: Open 10:00 AM Close 11:30 AM Friday: Open 10:00 AM Close 11:30 AM,"1940 E Chelten Ave, Philadelphia, PA, USA",215-548-2700,40.0514948,-75.1509685
"SEAMAAC, Inc.",Monday: Open 10:00 AM Close 2:00 PM Tuesday: Open 10:00 AM Close 2:00 PM Wednesday: Open 10:00 AM Close 2:00 PM,"1711 S Broad St, Philadelphia, PA, USA",215-467-0690,39.9287124,-75.1683307
Revelation Philadelphia Ministry Inc,Saturday: Open 9:00 AM Close 2:00 PM,"7047 Buist Ave, Philadelphia, PA, USA",267-300-2397,39.915334,-75.237308
PCDC @ Crane Center (Philadelphia Chinatown Development Corporation),First Friday of the Month: Open 10:00 AM Close 1:00 PM Third Friday of the Month: Open 10:00 AM Close 1:00 PM,"1001 Vine St, Philadelphia, PA, USA",215-922-2156,39.9575329,-75.1557727
North Philadelphia Seventh Day Adventist Church,Tuesday: Open 7:00 AM Close 11:00 AM,"1510 W Oxford St, Philadelphia, PA, USA",215-235-1001,39.97754,-75.1608755
Norris Homes/North Central Community Center,Second Monday of the Month: Open 1:00 PM Close 4:30 PM Fourth Monday of the Month: Open 1:00 PM Close 4:30 PM,"2000 N 11th St, Philadelphia, PA, USA",267-456-4236,39.9832581,-75.1515466
New Life Community Center,Thursday: Open 8:00 AM Close 12:00 PM,"4726 N Broad St, Philadelphia, PA, USA",267-766-2945,40.025044,-75.1478979
Mount Hebron Baptist Church,First Thursday of the Month: Open 10:30 AM Close 12:45 PM Third Thursday of the Month: Open 10:30 AM Close 12:45 PM,"1419 Wharton St, Philadelphia, PA, USA",,39.934362,-75.168608
Mitzvah Food Program - Elkins Park,Thursday: Open 1:00 PM Close 3:00 PM,"8231 Old York Rd, Elkins Park, PA, USA",215-832-0831,40.0818546,-75.1262062
"Martin Luther King Jr. Association for Nonviolence, Inc. (MLK Association)",Third Saturday of the Month: Open 9:30 AM Close 11:30 AM,"3001 Walnut St, Philadelphia, PA, USA",215-751-9300,39.9521396,-75.1844544
MAP Holistic CDC (Mankind Against Poverty),Wednesday: Open 9:00 AM Close 12:00 PM Phone Number:,"1510 W Stiles St, Philadelphia, PA, USA",215-235-2500,39.9725552,-75.1612373
Mantua Haverford Community Center/Mt. Vernon Manor CDC,Wednesday: Open 10:00 AM Close 12:00 PM,"631 N 39th St, Philadelphia, PA, USA",215-475-9492,39.9640646,-75.1999166
Hope Prison Ministries,Monday: Open 11:00 AM Close 2:00 PM Friday: Open 11:00 AM Close 2:00 PM,"735 W Butler St, Philadelphia, PA, USA",267-446-5749,40.0097602,-75.1412841
Haddington-Overbrook Resident Council,Saturday: Open 10:00 AM Close 1:00 PM 10 AM - 1 PM,"648 N 57th St, Philadelphia, PA, USA",267-319-2223,39.9699052,-75.2343754
Gather the People House of Prayer,Saturday: Open 9:00 AM Close 12:00 PM,"1429 W Clearfield St, Philadelphia, PA, USA",267-300-2397,40.000335,-75.1541868
Friends Rehabilitation Programs,Friday: Open 10:00 AM Close 12:00 PM,"704 West Girard Avenue, Philadelphia, PA, USA",215-825-8800,39.9701676,-75.1485187
Fresh Fire Apostolic Food Pantry,Saturday: Open 9:00 AM Close 1:00 PM 9 AM - 1PM,"2901 Cedar Street, Philadelphia, PA, USA",267-880-9733,39.9840676,-75.1130975
First Church of Love and Deliverance,First Friday of the Month: Open 11:00 AM Close 1:00 PM,"3101 Ridge Ave, Philadelphia, PA, USA",215-769-1275,39.9896332,-75.183776
